Depth,Resistivity,Gamma Ray,Total Porosity,Bulk Density,Actual Poisson Ratio(u),Actual Young Modulus(E),Predicted Poisson Ratio(u),Predicted Young Modulus(E)
6882.586043,0.063008112,0.242831288,0.308417787,0.651781809,0.282583661,5942955.329,0.249326435,5809951.436
6884,0.03679345,0.247873565,0.404770724,0.61220028,0.279309535,5657361.284,0.266372095,5391023.117
6884.489995,0.035573017,0.242005494,0.358889273,0.623634778,0.282831891,5566227.271,0.28057192,5527283.85
6884.910115,0.035723373,0.241742418,0.350628176,0.642215511,0.28760783,5502026.41,0.28473613,5530710.793
6886.5,0.030714541,0.270147066,0.286169346,0.680116917,0.294374869,5350031.774,0.25895879,5384792.026
6886.99033,0.0301705,0.266229493,0.232192715,0.776782362,0.293858588,5431063.79,0.288300494,5511583.765
6888,0.038382028,0.26497004,0.242906882,0.836933533,0.292977719,5577723.436,0.291905699,5653084.992
6888.297899,0.03915466,0.260848107,0.251866583,0.823893684,0.291446434,5622692.432,0.290575875,5701783.419
6888.942481,0.041948718,0.252907833,0.274137753,0.797318917,0.287922643,5709706.801,0.286369185,5797448.011
6889.246383,0.041132404,0.250910144,0.274528252,0.789445797,0.287151119,5729099.386,0.28652966,5758365.284
6891,0.047907218,0.253674226,0.213793614,0.774791474,0.288360051,5710179.956,0.285537487,5772608.937
6892.5,0.036500114,0.258525473,0.395510779,0.699484328,0.290912471,5496675.378,0.277166125,5500270.631
6892.581791,0.036593052,0.259594206,0.395450189,0.701136434,0.290882703,5491276.455,0.276610364,5523707.668
6894.009755,0.03671396,0.272568412,0.302259138,0.773139082,0.280181869,5410113.32,0.280698097,5495802.759
6894.5,0.039444045,0.271677896,0.273205423,0.797580856,0.270295501,5344219.968,0.279120307,5507153.691
6894.798933,0.041197618,0.274963117,0.281000401,0.79522241,0.265066307,5283250.397,0.274912317,5477047.919
6894.961731,0.042152609,0.276752237,0.285245522,0.79393801,0.262218506,5250046.574,0.273909397,5521255.534
6895,0.0423771,0.277172808,0.286243425,0.793636083,0.261549069,5242241.304,0.275082982,5558323.776
6897.299453,0.038818849,0.306960009,0.263577085,0.701290479,0.282919777,5510786.228,0.273905706,5462645.361
6897.817659,0.038973494,0.29747628,0.190144707,0.776722324,0.288260163,5654197.749,0.276558967,5652737.348
6898,0.041082929,0.292974033,0.175124083,0.80024239,0.289616087,5690982.1,0.28626631,5688903.685
6898.538386,0.039973494,0.267596649,0.178468123,0.806905243,0.288766132,5698124.683,0.288105349,5750144.557
6899.5,0.040846328,0.233297447,0.184309949,0.804020817,0.281127018,5726751.313,0.284741647,5844759.797
6899.77732,0.041161457,0.235453126,0.18907705,0.794841358,0.279197739,5737640.657,0.280248354,5858199.872
6900.5,0.042452311,0.247870524,0.225201867,0.75894109,0.276658725,5747349.036,0.285341256,5856989.715
6900.673587,0.043223921,0.250648556,0.237546729,0.746763903,0.27731738,5739610.554,0.279886836,5764358.134
6901.149575,0.045242953,0.255588696,0.258654774,0.725963002,0.279559333,5726398.014,0.277845566,5712782.922
6903.494121,0.052777527,0.246496609,0.247380952,0.805917801,0.286967911,5751105.881,0.284964545,5760298.259
6904.733055,0.049397103,0.251338523,0.248316512,0.821202789,0.2826673,5743275.744,0.283396642,5783843.847
6905.5,0.050553374,0.264287783,0.197347952,0.793018227,0.279530367,5697744.133,0.280156623,5720646.487
6905.86112,0.049154773,0.26937354,0.189108447,0.773950014,0.277374962,5677897.67,0.276889782,5674592.193
6905.971989,0.04869928,0.270256706,0.189452288,0.770259475,0.276662342,5674779.816,0.277118407,5673289.306
6907.162554,0.046256621,0.259860506,0.242698822,0.768531242,0.270000409,5693430.543,0.272394284,5791519.253
6910,0.046003553,0.276567176,0.30068894,0.757348922,0.266975741,5795727.312,0.26955615,5718007.818
6910.193347,0.046266352,0.272151523,0.298998822,0.749528861,0.266687412,5789148.565,0.267909665,5739301.809
6910.669335,0.046550015,0.258791956,0.290949315,0.735500316,0.266133834,5777351.16,0.266489583,5557719.716
6910.927724,0.046369778,0.249632528,0.281389325,0.73413695,0.266200052,5769807.009,0.270811633,5734351.513
6911,0.046290023,0.246379966,0.28046522,0.732325753,0.265945823,5774688.95,0.268553677,5771911.554
6911.5,0.046042199,0.231031579,0.255944885,0.734607067,0.26701239,5736033.057,0.273468063,5762148.918
6913.019006,0.063014295,0.238587578,0.232139434,0.619675448,0.259998147,5174386.881,0.254503491,5267070.085
6913.405591,0.061894525,0.258679204,0.297428654,0.585196384,0.253835482,5048277.6,0.240647203,5289382.713
6913.5,0.061932279,0.263217045,0.312097192,0.577315178,0.252151319,5015669.588,0.238525709,5373774.409
6913.525263,0.06154131,0.264906581,0.317666612,0.57451162,0.251931548,5009277.358,0.238553039,5223294.145
6915,0.049101242,0.309844503,0.509889621,0.490553932,0.25476052,4912691.254,0.250335032,4821638.97
6916.272591,0.035387605,0.27591867,0.305818462,0.629817712,0.266040904,5389406.204,0.266140047,5121400.305
6916.502926,0.036256485,0.268644956,0.289963072,0.667290249,0.267472276,5473632.752,0.274557077,5468413.612
6917.574025,0.048157032,0.244541194,0.245628188,0.774652243,0.273828054,5704555.626,0.275597214,5825514.045
6918.224742,0.051242532,0.236329549,0.259640736,0.769318962,0.275568111,5727801.924,0.274944494,5738831.241
6918.761131,0.050182381,0.227677855,0.302497089,0.760222523,0.2759754,5737354.293,0.273532862,5741993.485
6919.60026,0.052072303,0.228796936,0.418507899,0.703815682,0.276770454,5706909.272,0.267632806,5727540.146
6920.219727,0.0531408,0.241410329,0.41603997,0.678990433,0.277574714,5695229.221,0.275425378,5657463.924
6921.5,0.053804557,0.245894858,0.300096303,0.688125282,0.276717605,5718860.855,0.275892839,5715557.33
6925,0.043203587,0.256540846,0.272316468,0.774696419,0.271449009,5575136.188,0.273399109,5657781.392
6925.794928,0.043353716,0.258445191,0.335878929,0.718134806,0.266788875,5520365.821,0.268841203,5421497.92
6926.414395,0.042318159,0.253345103,0.39237062,0.677039487,0.263675808,5422545.134,0.266764869,5465026.813
6926.684061,0.043186922,0.251243147,0.407693025,0.646474238,0.261695386,5353197.17,0.260187049,5499558.005
6929,0.06707519,0.320710015,0.44588488,0.501604049,0.23313616,4740056.493,0.230008672,4745752.466
6929.232866,0.069448755,0.326573156,0.470932817,0.519411711,0.230516266,4731081.556,0.226722376,4729111.804
6929.511729,0.07137291,0.331385139,0.498607853,0.53254286,0.227531907,4721236.76,0.227806561,4690943.722
6929.708854,0.072733071,0.334786667,0.518170968,0.541825094,0.225422304,4714277.605,0.227061387,4681307.22
6929.937646,0.073348141,0.336416259,0.538441698,0.543999866,0.223134394,4707148.008,0.224869951,4686172.61
6930.588363,0.070894061,0.321478474,0.494047933,0.518453221,0.224416548,4726815.959,0.226371845,4697529.17
6931.23908,0.061197134,0.299204757,0.35472273,0.537252363,0.240712255,4866712.114,0.242525764,4857491.684
6932.088794,0.038583934,0.28057468,0.258669376,0.644236356,0.266541892,5138953.272,0.267680776,5202128.953
6933.992746,0.036668662,0.242511552,0.241740803,0.698989772,0.27760861,5246910.071,0.277735298,5355155.454
6934.467464,0.036892479,0.243329705,0.262509507,0.709561209,0.277156813,5240975.616,0.277086457,5252057.745
6935,0.038426091,0.245214655,0.276390844,0.717283335,0.277306519,5234446.565,0.276122702,5276377.644
6935.143381,0.038766403,0.248673903,0.276093439,0.718325958,0.27742212,5234524.795,0.276428239,5288040.009
6936.848674,0.040958975,0.269212044,0.298739188,0.720621592,0.276973724,5255663.414,0.276095283,5353760.919
6937.80065,0.041345128,0.257188028,0.32930726,0.704907645,0.274161603,5263589.527,0.271162997,5265634.177
6938.276638,0.040450502,0.255517105,0.340232232,0.699291985,0.272133567,5283105.235,0.272492624,5320953.277
6939.047683,0.040553122,0.244472217,0.314362906,0.695905455,0.270562756,5302143.825,0.272806533,5477708.082
6941,0.046925819,0.302714186,0.397881325,0.624105891,0.234379844,4875155.091,0.239896328,4923584.7
6941.2816,0.0536399,0.318499814,0.433794908,0.582609779,0.227727007,4769490.406,0.234576601,4809087.693
6944.5,0.042912352,0.323651712,0.473072079,0.556664528,0.242127061,4769164.302,0.24066675,4709075.351
6944.904135,0.043014119,0.319783584,0.406729201,0.63725906,0.253160221,4873459.414,0.248974522,4982159.14
6944.94047,0.043023268,0.319435803,0.400764353,0.644505268,0.254152206,4882836.529,0.251118291,4957413.842
6944.998401,0.043022885,0.319614047,0.39862126,0.650748815,0.254732717,4891788.843,0.251754395,4933670.429
6945.554852,0.042594686,0.322349622,0.386110431,0.700406041,0.258839427,4965048.898,0.259533768,5012752.276
6946.844422,0.037788815,0.325740378,0.481790673,0.58958793,0.237951691,4784363.128,0.240948841,4688818.844
6946.856285,0.037967451,0.325478357,0.482532403,0.588675658,0.237814826,4782094.446,0.240557236,4687862.66
6946.856802,0.037946667,0.32540503,0.48299807,0.588895751,0.237935642,4782603.902,0.240557236,4687862.66
6948.715202,0.039369606,0.290672069,0.528004125,0.554330815,0.237752136,4727702.836,0.241176622,4679328.838
6948.748374,0.039498247,0.290500202,0.524340099,0.554282786,0.237608513,4729082.062,0.241633655,4699309.408
